ticker,signal_mode,days,rank,ob_value,os_value,stop_ticks,take_profit_ticks,trailing_stop_ticks,breakeven_ticks,atr_ratio_min,max_hold_minutes,n_trades,win_rate,total_pnl,profit_factor,max_drawdown,avg_hold_candles,exit_stop_loss,exit_take_profit,exit_trailing_stop,exit_breakeven_stop,exit_timeout,exit_eod_close,exit_other
PLZL,mean_reversion,60,6,75.0,25.0,80,240,0,40,0.0,150,126,40.5,-16.59,0.97,97.45,23.6,24,2,0,24,76,0,0
PLZL,mean_reversion,60,7,80.0,25.0,80,240,0,68,0.0,150,119,44.5,-17.8,0.97,106.78,26.0,22,2,0,7,88,0,0
PLZL,mean_reversion,60,8,80.0,25.0,80,320,0,68,0.0,150,118,44.9,-16.57,0.97,106.78,26.4,22,1,0,6,89,0,0
PLZL,mean_reversion,60,9,75.0,25.0,80,160,0,40,0.0,150,129,40.3,-24.75,0.96,97.45,22.6,25,9,0,25,70,0,0
PLZL,mean_reversion,60,10,90.0,25.0,112,224,0,56,0.0,150,99,43.4,-21.84,0.96,83.61,26.3,10,3,0,9,77,0,0
ROSN,mean_reversion,60,0,80.0,20.0,80,240,56,68,0.7,,111,30.6,-80.77,0.37,80.77,17.6,0,0,70,0,40,0,1
ROSN,mean_reversion,60,1,80.0,10.0,80,320,0,0,0.7,60,67,41.8,4.68,1.09,19.71,11.7,4,0,0,0,63,0,0
ROSN,mean_reversion,60,2,80.0,10.0,80,320,0,40,0.7,60,67,37.3,4.04,1.09,20.95,11.2,3,0,0,8,56,0,0
ROSN,mean_reversion,60,3,80.0,10.0,80,320,0,68,0.7,60,67,40.3,4.43,1.09,19.71,11.7,4,0,0,2,61,0,0
ROSN,mean_reversion,60,4,80.0,10.0,80,240,0,0,0.7,60,67,41.8,3.63,1.07,19.71,11.7,4,1,0,0,62,0,0
ROSN,mean_reversion,60,5,80.0,10.0,80,240,0,68,0.7,60,67,40.3,3.38,1.07,19.71,11.6,4,1,0,2,60,0,0
ROSN,mean_reversion,60,6,80.0,10.0,80,240,0,40,0.7,60,67,37.3,2.99,1.06,20.95,11.1,3,1,0,8,55,0,0
ROSN,mean_reversion,60,7,80.0,10.0,80,320,0,40,0.5,60,76,38.2,1.91,1.04,20.95,11.4,3,0,0,7,66,0,0
ROSN,mean_reversion,60,8,80.0,10.0,80,320,0,68,0.5,60,76,40.8,2.3,1.04,19.71,11.7,4,0,0,1,71,0,0
ROSN,mean_reversion,60,9,80.0,10.0,80,320,0,0,0.5,60,76,40.8,1.65,1.03,19.71,11.8,4,0,0,0,72,0,0
ROSN,mean_reversion,60,10,80.0,10.0,80,240,0,40,0.5,60,76,38.2,0.86,1.02,20.95,11.3,3,1,0,7,65,0,0
SBER,mean_reversion,60,0,80.0,20.0,86,258,60,73,0.7,,116,27.6,-280.31,0.29,282.42,13.5,0,0,95,0,21,0,0
SBER,mean_reversion,60,1,75.0,20.0,120,240,0,0,0.7,150,90,51.1,1.97,1.01,102.65,28.0,6,3,0,0,80,0,1
SBER,mean_reversion,60,2,75.0,10.0,86,344,0,43,0.5,150,81,39.5,2.83,1.01,82.51,22.7,10,2,0,28,41,0,0
SBER,mean_reversion,60,3,75.0,20.0,86,258,0,0,0.7,150,93,50.5,-1.09,1.0,104.57,26.8,14,3,0,0,75,0,1
SBER,mean_reversion,60,4,75.0,10.0,86,344,0,43,0.7,150,74,40.5,-0.28,1.0,60.44,23.0,8,1,0,26,39,0,0
SBER,mean_reversion,60,5,75.0,10.0,86,344,0,0,0.7,150,71,53.5,-0.35,1.0,59.61,27.5,9,0,0,0,62,0,0
SBER,mean_reversion,60,6,75.0,10.0,86,172,0,0,0.7,150,74,52.7,-4.31,0.98,59.61,26.6,10,5,0,0,59,0,0
SBER,mean_reversion,60,7,75.0,10.0,86,258,0,0,0.7,150,73,53.4,-3.19,0.98,59.61,27.0,10,1,0,0,62,0,0
SBER,mean_reversion,60,8,75.0,10.0,120,360,0,0,0.7,150,69,55.1,-4.68,0.98,64.99,28.1,6,0,0,0,63,0,0
SBER,mean_reversion,60,9,75.0,10.0,120,480,0,0,0.7,150,69,55.1,-4.68,0.98,64.99,28.1,6,0,0,0,63,0,0
SBER,mean_reversion,60,10,75.0,20.0,120,240,0,102,0.7,150,91,49.5,-9.37,0.96,113.99,27.4,6,3,0,5,76,0,1
